cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,RGAL_KPC_nn,RGAL_KPC_nn2,RGAL_KPC_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3
14,259.291052058512,0.019656364024210855,-62.82760737026866,42.0,41.0,7.0,193.45064041251342,205.55800433712287,225.46036201910889,4.146888530751462,4.406427028476432,4.8330622602355415,3.1983138042946946,3.3984844994711234,3.7275295994334234,4.307904440435445,4.43296706545213,4.306954018696561,1087607.948605457,989137.6441603256,740174.8711184154,2.6018225243097266,6.582409326204483,3.255083680174031,46.31151089744664,51.295790463901064,66.50292536517065,91.57745087254857,97.30198780910511,118.5138249053273
15,259.26159423523825,0.006205208237058671,-62.821310133613565,56.0,28.0,27.0,9.244162741473104,126.42898949687536,252.5787671572397,0.19816172418592373,2.7101844965780524,5.414383691892649,0.15283347339742195,2.090246801502598,4.175877401843334,1.2935528005983095,1.4282988569018893,1.5037484748060237,39532.54466576196,99297.5755875032,271954.3369261623,1.8036111741097467,6.044394510550782,1.9108443670897466,62.99444338375449,45.77546220910417,17.243767507603536,118.27192490493907,89.00149856464193,67.1161205832258
16,259.24966226590715,0.0007550954377837888,-62.82060311753085,119.0,130.0,35.0,74.5782212195222,84.08938619949035,106.74918279868942,1.5986898237173106,1.802575119136387,2.288319960435456,1.2329995595647163,1.3902473731955711,1.7648811304743626,0.2558079302883332,0.0925766914471672,0.23204223662215795,3313110.8405041485,17849705.944874212,3821224.563608272,8.17518848960253,14.743394637609077,11.597188108280985,50.124068501869296,45.48242347609002,54.41378234330791,96.41544510960219,89.70010182355409,105.42042497682992
17,259.2950619346607,0.02148272657821981,-62.83421120378583,12.0,24.0,57.0,563.9470908420931,765.9137557730472,813.9728892897814,12.089004812684266,16.418446393287695,17.448662003602657,9.323720829695578,12.662829819351053,13.457390074211132,5.120397914844266,4.7797536965860745,4.632377786672349,1038677.727401999,401882.0646298367,1064894.5374424101,2.13799886233593,1.158577291043267,4.519895842122245,29.264858566164317,,53.758677912126295,76.21309330166844,58.5973504348597,104.81011241679731
18,259.29354604418285,0.020794117312738863,-62.829266984447386,13.0,41.0,24.0,119.22121923826721,202.09926937604016,244.66025541157384,2.5556757301352167,4.332284144739071,5.244639174796706,1.9710809457208145,3.3413013350843905,4.044960877754148,4.720535339899702,4.43296706545213,4.7797536965860745,247964.05414038646,989137.6441603256,401882.0646298367,1.8211485412930777,6.582409326204483,1.158577291043267,,51.295790463901064,,64.49286775166455,97.30198780910511,58.5973504348597
19,259.28457353614795,0.016697765498470074,-62.827706246231664,59.0,43.0,29.0,89.03054714338906,158.21302763244088,256.9280749297047,1.9084959039068947,3.3915203811441783,5.507617265479598,1.4719394431851769,2.615731378387113,4.2477843805854985,3.670487145466861,3.75532979574061,3.975107477261871,866151.291220143,652925.0615837775,78084.83499013931,5.136656919191293,2.3188165500832794,0.914416682806778,41.17944028809189,42.17134754972829,26.51306639979954,82.96762319721645,85.26082072600724,72.2857519551287
20,259.28080861691654,0.01497920547986279,-62.82621923721175,83.0,60.0,100.0,147.61316242202705,196.1297332987912,201.88686113073382,3.1642972539689787,4.204318682128746,4.327730873090967,2.4404841155512926,3.2426071689633167,3.337789595750466,3.2318290600532213,3.4592496669434536,3.179711237358328,670028.8542481642,439401.9620213265,520133.79756388796,3.3026226793566664,1.8083883491720913,3.4186701390160255,23.52507201543997,29.181695907659673,21.424567010939132,64.74273847749035,73.38585579790981,71.32719715633768
21,259.2969271523412,0.022341157432443803,-62.8252134180123,5.0,26.0,7.0,356.7977734674526,509.66697932674913,510.2724835485665,7.64846573490138,10.925433725967254,10.938413566754663,5.898927198117198,8.426309326751023,8.436320110416911,4.801937125262597,4.1709762902583,4.306954018696561,2497964.2603508714,958963.2228566412,740174.8711184154,3.331280380667523,2.4656822284721973,3.255083680174031,75.12937214620769,73.1438375480538,66.50292536517065,131.94618343428493,129.16467385420282,118.5138249053273
22,259.2863960813559,0.017527168748720776,-62.832562260881346,57.0,36.0,82.0,77.26355995837733,145.6779298726057,255.84003281282898,1.6562538637928303,3.1228128027083395,5.48429354132017,1.2773961867321089,2.40848897216931,4.229795811953018,4.632377786672349,4.529050783059368,4.714936308470735,1064894.5374424101,3018343.4658172666,713051.6288111329,4.519895842122245,5.106099844628221,7.307499320966278,53.758677912126295,58.207762450425655,65.7213379009549,104.81011241679731,106.70616298318886,121.46451668470436
23,259.29020529062564,0.01926758936611131,-62.83078467509185,38.0,51.0,24.0,162.9892489973398,302.1323335830098,323.61714435831084,3.493905452375757,6.476634588713996,6.937191944324063,2.6946965071204656,4.995145072467817,5.350352823337892,4.397267499513114,4.399840392573416,4.7797536965860745,798295.3572139334,1589030.0262853582,401882.0646298367,3.268568433179521,3.264488871170291,1.158577291043267,54.541827803617345,51.82116918719563,,102.60001770395777,99.02825935138269,58.5973504348597
24,259.29364597021754,0.020838890668177942,-62.83047669157938,13.0,18.0,23.0,132.8309949604763,244.66025541157384,323.61714435831084,2.8474205531462973,5.244639174796706,6.937191944324063,2.196090971393909,4.044960877754148,5.350352823337892,4.720535339899702,4.626070903011693,4.567632095029222,247964.05414038646,727153.6018804875,1693147.1540028844,1.8211485412930777,3.112751368221175,4.136505851557892,,44.264418768792986,67.72169548657995,64.49286775166455,90.5100846179693,120.36960546432175
25,259.28635321999946,0.017509574757885643,-62.82924312260296,29.0,39.0,40.0,94.38026819801998,114.59078839517544,181.6323453470951,2.023174753441132,2.456415885273971,3.893546633535133,1.560386225587481,1.894526167438808,3.0029222761490466,3.975107477261871,4.1215026968399435,4.229373128769221,78084.83499013931,683812.6976694829,397885.2922348512,0.914416682806778,1.7052330154302044,2.4764511496016692,26.51306639979954,47.663380293567776,32.129176241789764,72.2857519551287,98.27976793262346,80.1854689295393
26,259.2915227966613,0.01987260504390341,-62.82572861653078,30.0,7.0,44.0,205.04620058930882,212.82200886732585,310.38160710004564,4.395455790090867,4.562141256195663,6.653469452955752,3.390022863013197,3.518580074827536,5.1315300712906575,3.993976855482376,4.306954018696561,4.014011608355305,2166158.655679031,740174.8711184154,1069232.7639113145,4.021299460827277,3.255083680174031,3.7405497715647056,56.74916071512816,66.50292536517065,74.03030454458077,106.52112878505264,118.5138249053273,129.8372397977912
27,259.2636774004443,0.007156532404133491,-62.8221205467331,28.0,15.0,56.0,152.61836599223878,252.5787671572397,258.28233308722594,3.271590883161042,5.414383691892649,5.536647707607503,2.52323500041669,4.175877401843334,4.270174291265258,1.4282988569018893,1.3030164267346007,1.2935528005983095,99297.5755875032,124888.63639655989,39532.54466576196,6.044394510550782,2.112426039391481,1.8036111741097467,45.77546220910417,,62.99444338375449,89.00149856464193,54.35400081862074,118.27192490493907
28,259.2629307658341,0.006815659785297812,-62.821446733001316,15.0,56.0,27.0,126.42898949687536,134.86938705078398,152.61836599223878,2.7101844965780524,2.8911163753076834,3.271590883161042,2.090246801502598,2.2297916484611657,2.52323500041669,1.3030164267346007,1.2935528005983095,1.5037484748060237,124888.63639655989,39532.54466576196,271954.3369261623,2.112426039391481,1.8036111741097467,1.9108443670897466,,62.99444338375449,17.243767507603536,54.35400081862074,118.27192490493907,67.1161205832258
29,259.28589129462426,0.017298884476550303,-62.82882637697885,25.0,39.0,43.0,94.38026819801998,195.8013902398994,216.60973218708438,2.023174753441132,4.197280183511388,4.64333647146542,1.560386225587481,3.237178682732624,3.581202394167498,4.065665435433843,4.1215026968399435,3.75532979574061,547873.2886497288,683812.6976694829,652925.0615837775,4.393532619076245,1.7052330154302044,2.3188165500832794,36.34356837676169,47.663380293567776,42.17134754972829,78.02337105802481,98.27976793262346,85.26082072600724
30,259.28987617103195,0.019121036611471062,-62.82504713262153,32.0,26.0,70.0,192.7259953597071,205.04620058930882,293.0616651358504,4.131354737469929,4.395455790090867,6.282191960508866,3.1863332687396704,3.390022863013197,4.845179975185802,3.8402971027069257,4.1709762902583,3.8034277736726665,2138918.4193468946,958963.2228566412,746419.9303707051,4.199039259210776,2.4656822284721973,3.6672489070538776,52.35871895456209,73.1438375480538,45.08777027099551,100.49538426717152,129.16467385420282,94.2853314470259
31,259.28468592755024,0.01675087966620099,-62.824565400080566,69.0,53.0,8.0,146.94847538992727,222.07613750894816,249.57211285535027,3.1500487458013344,4.760516613569564,5.349931797529037,2.42949486420652,3.671578314161899,4.126168473829604,3.3573854173929814,3.7031572470014824,3.2623949891954913,301013.9559474302,1195214.2977858377,1095105.6012088622,5.238803471700505,4.747624884091436,2.3048341885696235,,50.49737751808918,53.10545894377891,66.77204909252919,97.24216344733404,99.32176917269219
32,259.28841856742383,0.01845576445703176,-62.82436396630432,70.0,30.0,53.0,109.53991636236941,192.7259953597071,248.75656825289929,2.34814328788958,4.131354737469929,5.332449443627244,1.8110202472112893,3.1863332687396704,4.112685098667472,3.8034277736726665,3.993976855482376,3.7031572470014824,746419.9303707051,2166158.655679031,1195214.2977858377,3.6672489070538776,4.021299460827277,4.747624884091436,45.08777027099551,56.74916071512816,50.49737751808918,94.2853314470259,106.52112878505264,97.24216344733404
33,259.278535181942,0.01394224812111024,-62.82347719413714,54.0,81.0,63.0,136.05346767025065,174.42975219179874,192.18418327765843,2.9164988208239166,3.739148845635977,4.11974022792848,2.24936801886016,2.8838420132655505,3.1773755053657418,2.9796175289175295,2.910223359955134,2.8036989752130226,334705.4004006381,3233356.3500289912,774107.4754934435,3.6062690928478958,3.6460909463150037,3.1220726514201793,46.8406772783018,69.42322644779134,46.072655169438974,91.58802260895527,124.32071012024224,90.8646853746318
34,259.24904866769737,0.000474786025803786,-62.82253663180442,174.0,4.0,115.0,60.262109313933045,107.65893043783285,110.80449674344408,1.2918036839782665,2.307821689882293,2.37525135983656,0.9963116983416338,1.7799219616987645,1.8319275178246448,0.5269872046532181,0.4756752570336198,0.7211868048722787,635901.43764949,854348.9705885551,735918.6681496649,7.383285684527298,6.301480735676296,6.262557216265501,51.17851705810212,46.485667505939574,52.74494293387922,97.71483804810194,90.99529642088152,98.6797567298412
35,259.24982227859016,0.0008281709969233397,-62.82112621390175,16.0,137.0,130.0,106.74918279868942,114.66552692100052,135.10304571576486,2.288319960435456,2.458018011454005,2.8961251798061003,1.7648811304743626,1.8957618173097472,2.2336547203647164,0.1783590464025165,0.3416876154379466,0.0925766914471672,7380389.624743405,1140030.5218324754,17849705.944874212,10.091704687306635,8.63471958259691,14.743394637609077,56.964928551893514,59.826177505376805,45.48242347609002,109.13902918916602,112.41881645636329,89.70010182355409
36,259.28482265946417,0.016808723106799806,-62.8326203288873,22.0,65.0,82.0,145.6779298726057,186.78726540128258,192.93511021542386,3.1228128027083395,4.004049647658357,4.1358374106465705,2.40848897216931,3.08814841928399,3.1897905585594186,4.612368667058773,4.451868350670497,4.714936308470735,2057852.5439297468,526353.9641278714,713051.6288111329,3.5590235421324916,4.250043591333052,7.307499320966278,63.524644182290544,34.49092176620049,65.7213379009549,116.61217761378417,77.91332237409463,121.46451668470436
37,259.2860325588112,0.017361939160945437,-62.831288518953706,49.0,50.0,57.0,198.52005195125957,224.4653472533026,250.14188347556998,4.25555854870983,4.81173270913428,5.3621456379438825,3.2821262376340163,3.711079049287043,4.135588474900908,4.281275916767797,4.112358930259197,4.632377786672349,1804617.8958320823,662768.0129102985,1064894.5374424101,4.2621976204000225,2.3761340010216974,4.519895842122245,65.92626917269158,53.74978753068009,53.758677912126295,117.66770436405665,100.67051893467685,104.81011241679731
38,259.2891493602246,0.01878584358251056,-62.83013793759529,23.0,40.0,51.0,162.9892489973398,173.5460454472374,217.3271378289237,3.493905452375757,3.7202053396555637,4.658715077717104,2.6946965071204656,2.869231715392915,3.5930632407518304,4.567632095029222,4.229373128769221,4.399840392573416,1693147.1540028844,397885.2922348512,1589030.0262853582,4.136505851557892,2.4764511496016692,3.264488871170291,67.72169548657995,32.129176241789764,51.82116918719563,120.36960546432175,80.1854689295393,99.02825935138269
39,259.2860476401346,0.017369709043956662,-62.829792575099184,25.0,29.0,50.0,114.59078839517544,195.8013902398994,209.5456108533451,2.456415885273971,4.197280183511388,4.491907023228632,1.894526167438808,3.237178682732624,3.4644114818772453,4.065665435433843,3.975107477261871,4.112358930259197,547873.2886497288,78084.83499013931,662768.0129102985,4.393532619076245,0.914416682806778,2.3761340010216974,36.34356837676169,26.51306639979954,53.74978753068009,78.02337105802481,72.2857519551287,100.67051893467685
40,259.28830129500886,0.01839907117265641,-62.82937130222725,38.0,25.0,51.0,173.5460454472374,181.6323453470951,215.46695148218143,3.7202053396555637,3.893546633535133,4.6188393481257375,2.869231715392915,3.0029222761490466,3.5623088340532543,4.397267499513114,4.065665435433843,4.399840392573416,798295.3572139334,547873.2886497288,1589030.0262853582,3.268568433179521,4.393532619076245,3.264488871170291,54.541827803617345,36.34356837676169,51.82116918719563,102.60001770395777,78.02337105802481,99.02825935138269
41,259.29218344049303,0.02017243033159479,-62.82848378092229,42.0,18.0,14.0,149.03496836024397,202.09926937604016,205.55800433712287,3.194775678468238,4.332284144739071,4.406427028476432,2.463990791722178,3.3413013350843905,3.3984844994711234,4.307904440435445,4.626070903011693,4.256449545388411,1087607.948605457,727153.6018804875,5437594.683773956,2.6018225243097266,3.112751368221175,4.077380243273714,46.31151089744664,44.264418768792986,63.11354437839685,91.57745087254857,90.5100846179693,113.78818753449377
42,259.2905732873463,0.01943710815683357,-62.82853907885642,41.0,51.0,14.0,149.03496836024397,154.40253081222284,193.45064041251342,3.194775678468238,3.3098369836297974,4.146888530751462,2.463990791722178,2.5527325454272614,3.1983138042946946,4.43296706545213,4.399840392573416,4.256449545388411,989137.6441603256,1589030.0262853582,5437594.683773956,6.582409326204483,3.264488871170291,4.077380243273714,51.295790463901064,51.82116918719563,63.11354437839685,97.30198780910511,99.02825935138269,113.78818753449377
43,259.28374568107773,0.01631933051910243,-62.82839150408696,59.0,89.0,19.0,122.23180320620472,129.28177064543172,158.21302763244088,2.620211862457563,2.7713379019142432,3.3915203811441783,2.020854842788875,2.1374117491533435,2.615731378387113,3.670487145466861,3.680821178599409,3.735540836407427,866151.291220143,155877.8165664682,434818.93777513923,5.136656919191293,3.405996922143903,3.809776569177117,41.17944028809189,24.23284984221098,23.79906806295359,82.96762319721645,67.12680837658556,67.02655096464629
44,259.28902252549614,0.018730081495200737,-62.82675480086125,14.0,26.0,7.0,254.4387675644385,310.38160710004564,316.6127342571325,5.454255435606487,6.653469452955752,6.787042490947652,4.20662873440885,5.1315300712906575,5.234549115116667,4.256449545388411,4.1709762902583,4.306954018696561,5437594.683773956,958963.2228566412,740174.8711184154,4.077380243273714,2.4656822284721973,3.255083680174031,63.11354437839685,73.1438375480538,66.50292536517065,113.78818753449377,129.16467385420282,118.5138249053273
45,259.2792150371481,0.014251835076164256,-62.82538764549592,61.0,9.0,80.0,111.78978232229844,188.08962764980274,190.81677425265968,2.3963723520325706,4.031967627458038,4.090427878325906,1.8482172156064804,3.109680336411543,3.1547681717769533,2.960595547434332,3.1366026132183347,2.9362994004783514,1120772.1316425577,729474.9136706908,675454.5633656529,3.4268190537497274,4.151310425277063,3.7445111477012296,28.455641256909466,39.95008327167748,32.238034528538265,67.97221087011137,85.1277974124686,73.15862808945339
46,259.28646127069254,0.01756244804050821,-62.82332630090071,72.0,70.0,32.0,134.24887812448674,184.63269142765404,276.7318798217118,2.877814887423208,3.9578633022379273,5.932139878569857,2.219532792453077,3.052526910523224,4.575200110141118,3.613861991350552,3.8034277736726665,3.8402971027069257,1843628.6618447304,746419.9303707051,2138918.4193468946,4.160772199191348,3.6672489070538776,4.199039259210776,42.085638820621654,45.08777027099551,52.35871895456209,87.67836369521191,94.2853314470259,100.49538426717152
47,259.28186321107745,0.015456883973205729,-62.83372407039874,76.0,124.0,65.0,113.71194289605562,145.96229538950033,206.9434719096629,2.4375765869763217,3.1289085804118253,4.436126488628347,1.8799962403954882,2.413190378978872,3.421390394500513,4.625513782867499,4.709585471711423,4.451868350670497,616290.7074236255,71499.89744947411,526353.9641278714,3.5370392857153856,,4.250043591333052,50.20668491775322,25.249369724913766,34.49092176620049,97.30534630539013,63.91084853096332,77.91332237409463
48,259.2828444377321,0.015905714795778483,-62.8321935012909,109.0,65.0,49.0,122.67057893202968,123.03741893040191,162.01733480108877,2.6296176417360173,2.6374813767881564,3.4730710947085317,2.0281091090859675,2.034174064095988,2.6786278780178105,4.218846642535676,4.451868350670497,4.281275916767797,1938070.1608010656,526353.9641278714,1804617.8958320823,3.5142089676488126,4.250043591333052,4.2621976204000225,48.4642953038543,34.49092176620049,65.92626917269158,93.76936405505572,77.91332237409463,117.66770436405665
49,259.2839804339216,0.01642474973302704,-62.83158258548709,66.0,48.0,37.0,144.57263241175042,162.01733480108877,198.52005195125957,3.0991191858057774,3.4730710947085317,4.25555854870983,2.390215121437324,2.6786278780178105,3.2821262376340163,4.147820660313903,4.329790442882419,4.360100344449897,2343040.1094869,1371249.4093403812,4421746.376311742,5.702358053556354,4.243133618570661,4.079783663613618,33.9695698805672,41.105731432678,75.54081549441732,73.83683165832511,82.86727840362143,132.04650832230186
50,259.28435575991983,0.016596746690356108,-62.830483568468,39.0,37.0,49.0,209.5456108533451,224.4653472533026,224.8250654950995,4.491907023228632,4.81173270913428,4.819443779245129,3.4644114818772453,3.711079049287043,3.7170262605030007,4.1215026968399435,4.360100344449897,4.281275916767797,683812.6976694829,4421746.376311742,1804617.8958320823,1.7052330154302044,4.079783663613618,4.2621976204000225,47.663380293567776,75.54081549441732,65.92626917269158,98.27976793262346,132.04650832230186,117.66770436405665
51,259.2906309771635,0.01946294719460868,-62.829302598012674,42.0,40.0,38.0,154.40253081222284,215.46695148218143,217.3271378289237,3.3098369836297974,4.6188393481257375,4.658715077717104,2.5527325454272614,3.5623088340532543,3.5930632407518304,4.307904440435445,4.229373128769221,4.397267499513114,1087607.948605457,397885.2922348512,798295.3572139334,2.6018225243097266,2.4764511496016692,3.268568433179521,46.31151089744664,32.129176241789764,54.541827803617345,91.57745087254857,80.1854689295393,102.60001770395777
52,259.2818013688936,0.01543110279732059,-62.8290464984492,89.0,98.0,127.0,109.86076572815232,134.85667690710434,174.8118680207429,2.355021148579143,2.890843915371976,3.747340039757061,1.816324840432044,2.2295815120258538,2.8901595231375543,3.680821178599409,3.5631861999167715,3.717165147555067,155877.8165664682,1448695.5171165846,1040334.0518699366,3.405996922143903,4.12576251676797,5.871974045973461,24.23284984221098,40.87724073478912,35.23837656872341,67.12680837658556,84.23768652352724,76.15451968072499
53,259.28656021560056,0.01760648537849565,-62.82525480954276,31.0,32.0,30.0,222.07613750894816,248.75656825289929,308.96894421185675,4.760516613569564,5.332449443627244,6.623187022686424,3.671578314161899,4.112685098667472,5.1081745568996215,3.504102081047173,3.8402971027069257,3.993976855482376,504974.15440535924,2138918.4193468946,2166158.655679031,5.054892842971499,4.199039259210776,4.021299460827277,83.841808991935,52.35871895456209,56.74916071512816,144.78754402118795,100.49538426717152,106.52112878505264
54,259.2791049767771,0.01420219267648058,-62.82409814861269,80.0,33.0,9.0,108.4464305346799,136.05346767025065,177.61688081318437,2.324702870076977,2.9164988208239166,3.8074694627084784,1.7929416778664569,2.24936801886016,2.936534717947757,2.9362994004783514,2.9071120727177884,3.1366026132183347,675454.5633656529,1154681.9790541886,729474.9136706908,3.7445111477012296,5.942080038577299,4.151310425277063,32.238034528538265,39.72748772259621,39.95008327167748,73.15862808945339,83.32460354249507,85.1277974124686
55,259.2810266914529,0.015081219162180269,-62.821496641183,64.0,74.0,81.0,236.59704902283187,264.40056535346406,314.5034250172717,5.071792923043522,5.667800683680543,6.7418264592202055,3.9116521213447664,4.371326847148579,5.199675966881088,3.0756328100938943,2.93594419002028,2.910223359955134,735700.0281065853,192388.74913782964,3233356.3500289912,3.004853166048664,5.496896232509199,3.6460909463150037,38.015036605684536,,69.42322644779134,79.29735076228624,77.97041024839808,124.32071012024224
56,259.261496401852,0.006160519125761898,-62.82131987482578,15.0,28.0,27.0,9.244162741473104,134.86938705078398,258.28233308722594,0.19816172418592373,2.8911163753076834,5.536647707607503,0.15283347339742195,2.2297916484611657,4.270174291265258,1.3030164267346007,1.4282988569018893,1.5037484748060237,124888.63639655989,99297.5755875032,271954.3369261623,2.112426039391481,6.044394510550782,1.9108443670897466,,45.77546220910417,17.243767507603536,54.35400081862074,89.00149856464193,67.1161205832258
